Official Symbol Interactor A	Official Symbol Interactor B
ESR1	TDG
TDG	ESR1
TDG	RARA
SKI	HIPK2
HIPK2	SKI
SMAD1	HIPK2
SMAD1	SKI
SMAD2	SKI
SMAD3	SKI
SMAD4	SKI
RGL4	HRAS
YWHAH	RIMS1
YWHAH	RIMS2
SHC1	PLSCR1
BIRC2	GSPT1
HTRA2	XIAP
HTRA2	BIRC2
HTRA2	BIRC3
DIO2	USP33
DNM1L	FIS1
STMN3	TRPC5
ARHGAP32	GRIN2B
ARHGAP32	RHOA
ARHGAP32	CDC42
CDK2	FEN1
CCNA2	FEN1
CCNA2	FEN1
CDK2	FEN1
PCNA	FEN1
YWHAQ	PFKFB2
NUDC	PLK1
PLK1	NUDC
GRB2	LY6G6F
GRB7	LY6G6F
TP53INP1	HIPK2
TP53INP1	TP53
HIPK2	TP53INP1
TP53	TP53INP1
SP1	AATF
RND1	ARHGAP5
RND2	ARHGAP5
RND3	ARHGAP5
RHOA	ARHGAP5
SKP2	CDT1
NEK9	NEK6
NEK9	NEK7
CDKN1A	CDK2
FMR1	NUFIP2
PDZK1	PDZK1IP1
CTTN	CTNND1
FYN	CTNND1
CDK5	LMTK2
CDK5	NES
RAB4A	KIF3B
STX1A	STXBP5
STX4	STXBP5
CTNNB1	SLC9A3R1
KMT2A	HDAC1
KMT2A	CTBP1
CBX4	CTBP1
CBX4	BMI1
SH3KBP1	PAK2
SH3KBP1	SYNJ1
MYLIP	MYLIP
MYLIP	CNPY2
OSTM1	RGS19
CALCR	LRP1
ARHGAP32	RAC1
ARHGAP32	CDC42
CRK	ARHGAP32
NCK1	ARHGAP32
BCAR1	ARHGAP32
PDK2	DLAT
AGRP	MC4R
SKP2	CKS1B
SKP2	CDKN1B
CKS1B	CDKN1B
HSF1	HSF2
DGKH	DGKH
DCC	NTN1
VCP	NSFL1C
SIAH1	PEG10
PEG10	SIAH2
AR	NONO
AR	NCOA2
AR	CREBBP
HOMER1	RYR1
KIF4A	HMG20B
PKD2L1	TNNI3
SLC9A1	TESC
SLC9A1	CALM1
TRPV1	CALM1
MLLT4	BCR
BCR	MLLT4
TJP1	GJA3
TJP1	GJA8
S100P	EZR
DAB2	DVL3
DAB2	DVL2
STK11	STRADA
STK11	STRADA
SRI	GCA
ADORA2A	ADORA2A
ADORA2A	DRD2
TPR	NUP153
ARF1	CHRM3
ARF6	CHRM3
NDEL1	PAFAH1B1
NDEL1	YWHAE
FLT1	KDR
PEA15	RPS6KA3
NDFIP2	NEDD4
GSK3B	NOTCH2
NOTCH2	GSK3B
AKT1	TRIB3
NGFR	FSCN1
SHC1	LRP1
PPP1R8	EED
PPP1CA	PPP1R8
PPP1R8	HDAC2
YY1	SAP30
ARHGAP32	FYN
MICAL1	RAB1A
F3	F7
DNTT	DNTTIP2
IL1RAPL1	NCS1
CXCR3	CXCL9
CD74	MIF
NR5A1	NRIP1
ABL1	CAT
ABL2	CAT
ABL1	CAT
ABL2	CAT
BCOR	MLLT3
RALBP1	CCNB1
RHOA	ROCK1
RHOA	PKN1
RHOA	DIAPH1
RHOA	CIT
NRIP1	NR3C1
CREB1	CEBPB
KTN1	EEF1D
ITGB5	ANXA5
BAX	VDAC1
BCL2L1	VDAC1
RHOA	ITPR1
RHOA	TRPC1
CHEK1	CLSPN
GNB2L1	TP73
PML	MDM2
COIL	ATXN1
ATXN1	COIL
CHEK1	TP53
PRKDC	TP53
EMD	YTHDC1
PLD2	GAPDH
TTC1	GNA15
EBF1	CREBBP
E2F3	TFE3
RELA	RNF25
RNF25	RELA
ARHGEF1	RHOA
SUGT1	S100A6
SUGT1	SKP1
TIMM8A	STAM
ETS1	TDP2
TDP2	ETS1
AKAP8	MCM2
MCM2	AKAP8
DLG3	EXOC4
EXOC7	EXOC4
IGF1	IGFBP3
GHR	SGTA
IL27RA	STAT1
RASSF2	KRAS
PLXNB1	RND1
PLXNB1	RND2
PLXNB1	RND3
N4BP2	BCL3
NEDD4	SGK1
TGFB3	TGFBR2
CCNT1	PML
CCNT1	PML
BAG1	PPP1R15A
FLI1	GATA1
NMD3	XPO1
MUS81	EME1
RHAG	ANK1
PRMT1	SUPT5H
PRMT5	SUPT5H
SMAD3	ATF3
PEX26	PEX1
PEX26	PEX6
PAWR	THAP1
VEGFA	KDR
ADAMTS1	VEGFA
CTNNB1	CBY1
SUV39H1	DNMT3A
MBD1	SUV39H1
MBD1	CBX5
IL6ST	CNTFR
LIFR	CNTFR
DDIT3	CEBPB
UBL5	CLK4
RELA	BRCA1
TERT	SMG6
TOPBP1	E2F1
SRC	PLD2
PLD2	SRC
MAP2K1	MAPK1
MAP2K6	MAPK14
ATM	TP53BP1
CCK	CCKBR
TES	VASP
TES	ENAH
TES	ZYX
MCM2	MCM6
MCM2	MCM7
MCM4	MCM2
MCM4	MCM6
MCM4	MCM7
MCM6	MCM2
MCM6	MCM6
MCM6	MCM7
MCM7	MCM2
MCM7	MCM7
CAV1	EDNRB
HMGA2	NFKB1
HMGA2	NFKB1
HNRNPAB	TP63
PSMD2	UBE3C
CD2	SH3KBP1
CD2	CD2AP
CD2AP	CAPZA1
AURKB	RACGAP1
TRIM28	TRIM28
TRIM24	TRIM24
CALB1	RANBP9
NACA	FADD
KLF5	CREBBP
RB1	PELP1
ITCH	NUMB
VHL	ZNF197
ZNF197	TRIM28
PRKACB	NGFR
BNIPL	MIF
BNIPL	GFER
ADRBK1	PRKCB
CBX4	CTBP1
CDCA3	SKP1
FERMT2	FBLIM1
GUCY1B3	NOS3
GUCY1B3	HSP90AA1
EXOC4	DLG4
DLG4	EXOC4
PRKAR2A	AKAP13
PRKAR2A	AKAP5
PRKAR2A	AKAP2
PRKAR2A	AKAP11
PRKAR2A	AKAP9
PRKAR2A	RAB32
ABI1	ENAH
ABI1	ABL1
NFKBIB	RELA
EMD	ACTG2
PRLR	PPIA
ADAM17	DLG1
FYN	NPHS1
FYN	NPHS1
PAX3	SOX10
SOX10	PAX3
MBD1	ATF7IP
HMGA1	SP1
HMGA1	CEBPB
PRKCE	VDAC1
PRKCE	VDAC1
MYC	SUPT3H
MYC	TAF9
ESR1	SAFB2
DIABLO	BIRC5
H2AFZ	INCENP
S100A10	TRPV5
TRPV5	S100A10
SNAPIN	RGS7
TP53RK	TPRKB
ZHX1	ZHX3
ZHX3	ZHX3
SORBS3	DLG5
IMP3	MPHOSPH10
IMP4	MPHOSPH10
RCHY1	TP53
STX1A	SNAP23
STX1A	VAPB
STX2	SNAP23
STX4	SNAP23
SMAD2	ERBB2IP
SMAD3	ERBB2IP
PAK1	RAC1
PAK1	CDC42
ATP6V0A4	PFKM
TLR4	MYD88
PLCG1	PLD2
SPINK7	MT2A
MDM2	NUMB
NUMB	MDM2
MDM2	NUMB
SIAH1	DAB1
DAB1	SIAH1
ZNF622	MYBL2
NOTCH1	RBPJ
IL6R	IL6
IL6R	CNTF
HOXA5	FOXA2
OTX2	FOXA2
UBE2A	TP53
FYN	CTNNB1
CDH1	CTNND1
CDH1	FYN
HSPA5	ERN1
MAPK7	GJA1
GGA1	ARF1
RBM7	SF3B2
RBM7	SRSF3
KPNA2	SGK1
OBSCN	ANK1
GIT1	PPFIA1
TBL1X	NCOR1
TBL1XR1	NCOR1
NCOR1	TBL1X
NCOR1	TBL1XR1
TBL1X	HIST2H2BE
PHB	ANXA2
FBXW7	PARK2
PARK2	CUL1
ARHGEF7	SHANK2
SHANK1	ARHGEF7
PDE6G	ADRBK1
PDE6G	SRC
EXOC2	RALA
PML	SRF
PML	CREBBP
HSF1	RALBP1
TACC2	YEATS4
CTTN	WIPF1
YWHAB	RPS6KA1
PTPRB	MAGI3
