Official Symbol Interactor A	Official Symbol Interactor B
MDFI	ZNF439
KRT6A	KRT15
SALL2	ZMIZ2
FHL3	AIMP2
PCM1	CCDC53
PITX1	RBPMS
STMN2	TEX11
NME3	SGTA
BBS2	PSME3
RHOXF2	NEU4
ACTB	ACTG1
ACTN4	MYOZ2
ABLIM1	LDOC1
EMC2	EMC9
ZNF24	ZNF446
SSSCA1	SSSCA1
PHC2	PHC2
DAZAP2	RBFOX2
MDFI	CCDC120
TRIM29	GCC1
POLR1C	POLR1D
CSNK1G2	COL4A3BP
MAGEA1	TRIM31
EIF4H	C11orf68
TRIP13	GLYCTK
TNNT1	TNNT1
RAD54B	MYO15B
ADAMTSL4	KRTAP4-12
NAGK	LNX1
RARA	RXRB
AP2B1	THAP1
CALM2	KIAA1683
SERTAD3	USHBP1
MDFI	RABL6
NECAB2	NECAB2
TRAF2	ZFAND6
HSBP1	CCDC53
DNPH1	DNPH1
IGLC1	UBQLN1
PSMC5	RORA
AAR2	EAPP
CCND3	DTNBP1
ZMYND19	KCTD13
SMAD4	SMAD9
EEF1D	EEF1G
CCND2	CDKN1A
SEC24D	SEC23B
DDX39A	SARNP
MAP3K7CL	TAB3
SCAND1	ZSCAN32
GCSH	NMI
AKR7A2	AKR7A3
LIN37	TEX11
MDFI	DCAF8
LNX1	MAGEB18
AIMP2	LNX1
PDE9A	PHYHIPL
NECAB2	RCOR3
MORF4L1	MRFAP1L1
MAGEA11	TRMT1
