Entrez Gene Interactor A	Entrez Gene Interactor B
573	867
25	573
867	573
8239	4170
3312	613
3312	25
3320	613
3320	25
57506	7188
57506	8517
51185	1642
51185	8451
51185	9978
80279	1002
80279	65992
30011	867
8878	9817
9817	4780
9817	8878
9817	8452
9817	9978
9577	79184
9577	51720
9577	84142
9577	29086
84142	79184
84142	51720
84142	29086
10213	5713
79184	84142
79184	9577
79184	51720
7334	9025
9025	7334
9025	7325
7325	9025
6446	253260
8454	253260
253260	8454
253260	79109
79109	253260
8454	6500
8454	9978
9113	83737
83737	9113
80204	604
1956	64750
64750	1956
80204	6500
80204	8454
440574	10989
440574	54927
440574	3313
55294	688
688	55294
5879	57531
8772	841
8772	8737
10657	8737
140462	6923
140462	1159
140462	548596
140462	1152
1159	140462
548596	140462
1152	140462
29116	29116
7186	7375
7189	7375
7375	7189
4303	4193
1643	1642
1643	8451
1643	9978
8027	9101
83737	7805
5576	9867
5573	9867
7189	7189
672	2099
2099	672
2099	2033
672	2033
84447	7157
84447	6400
7157	84447
3184	3315
3184	3316
3476	4281
3476	5515
51035	672
5932	580
51035	580
5932	672
5156	2885
1956	2885
867	10253
11171	2932
2932	11171
2932	8312
8312	2932
5705	4261
5930	3308
8517	3551
8517	8737
8517	7128
7157	55611
55611	7157
55611	7321
26277	6478
6478	26277
7189	3665
84447	9709
9709	84447
84447	84447
8662	2475
8662	57521
57521	2475
57521	8662
2475	253260
80829	9020
481	57447
9020	80829
4193	9260
4193	7157
9260	4193
9260	7157
7157	4193
7157	9260
267	3156
267	11160
267	7415
10613	267
11160	267
11160	84447
10613	84447
3156	11160
3156	267
3638	11160
3638	267
11160	83590
83590	267
83590	11160
23397	10592
8338	23397
2475	57521
253260	2475
253260	79109
79109	2475
79109	253260
3784	4734
3784	9099
11186	1642
1642	11186
3105	79139
4868	30011
3454	25865
3454	8945
30011	5295
30011	23607
30011	4868
9113	23286
26524	9113
7827	23607
3551	4792
8945	4792
4792	5970
4683	56852
4683	4361
5243	5292
4088	1499
57591	6722
26168	4193
26168	7157
4193	26168
4193	7157
8945	4792
8945	3551
4792	8945
3192	8945
1432	8945
688	11059
7706	10616
7706	55072
7706	23586
23586	57506
23586	7706
1025	6917
1025	51366
51366	1025
51366	6917
7375	10075
10075	7375
1643	8451
26013	7415
57506	23586
57506	7187
2309	6502
8558	5300
5300	8558
51426	5111
56852	84250
84250	56852
4194	7157
4194	1452
4194	6025
4194	7529
4194	4193
4193	4194
4193	7157
4193	6125
7157	4194
7157	4193
5970	4793
5970	4792
4792	4793
4792	5970
4793	5970
4792	8517
4780	9817
51676	8065
8065	51676
6923	51676
6921	51676
6921	8651
51676	6923
6923	8065
6502	8454
6502	8065
925	222484
925	84708
222484	925
84708	925
56254	9810
9810	56254
2629	6950
4193	7157
8650	7157
4287	5071
6615	4851
4851	6615
4193	4851
4851	4193
6615	4193
8517	207
7520	2547
7520	8161
8161	7520
996	701
996	9184
996	991
996	4085
51530	6500
11236	3638
267	3638
331	5414
9099	8737
9099	7186
7132	8737
7132	7186
841	8737
841	7186
841	8772
867	5829
867	1956
867	6714
5071	5071
7186	9063
7186	7334
7334	7186
9063	7186
3054	8314
3054	7528
7528	8314
7528	3054
5896	9730
5896	1642
672	580
57154	50855
23586	7706
23586	57506
23586	5578
23586	5579
5578	23586
5579	23586
3661	3661
80762	5728
5728	80762
26272	7531
26272	26272
329	7186
330	7186
7124	8737
139285	9817
9817	139285
9817	23291
25793	329
7186	25793
331	22954
22954	331
